mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.8388286590576172,0.02129869241251535,0.010384416580200196,0.001748327934506981,gini,80,90,"{'criterion': 'gini', 'max_features': 80, 'n_estimators': 90}",0.8125,0.95,0.9375,0.875,0.8625,0.8875,0.05062114182829145,78,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.9796620368957519,0.04405887773410448,0.012118911743164063,0.0033755733142631643,gini,80,100,"{'criterion': 'gini', 'max_features': 80, 'n_estimators': 100}",0.825,0.95,0.925,0.8625,0.85,0.8825,0.04716990566028302,113,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10375256538391113,0.0030003360713030582,0.0032566070556640627,0.0013814426539091797,gini,90,10,"{'criterion': 'gini', 'max_features': 90, 'n_estimators': 10}",0.7625,0.8875,0.875,0.85,0.8375,0.8425,0.04373213921133976,192,0.99375,1.0,0.99375,0.996875,0.996875,0.9962500000000001,0.0023385358667336992
0.19991512298583985,0.0028046877203161498,0.004098272323608399,0.001945495106425876,gini,90,20,"{'criterion': 'gini', 'max_features': 90, 'n_estimators': 20}",0.825,0.95,0.9375,0.8625,0.875,0.89,0.04703721930556695,61,1.0,1.0,1.0,0.996875,1.0,0.999375,0.0012500000000000178
0.3080141067504883,0.0050539896197732,0.00358428955078125,0.0004839131947802879,gini,90,30,"{'criterion': 'gini', 'max_features': 90, 'n_estimators': 30}",0.825,0.9375,0.9125,0.8375,0.85,0.8724999999999999,0.044300112866673375,156,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4088908195495605,0.015987580083169122,0.004887819290161133,0.0004903218676347995,gini,90,40,"{'criterion': 'gini', 'max_features': 90, 'n_estimators': 40}",0.8,0.95,0.875,0.85,0.875,0.8699999999999999,0.04847679857416326,162,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5119795799255371,0.012630705758547252,0.006103658676147461,0.0017775571476079254,gini,90,50,"{'criterion': 'gini', 'max_features': 90, 'n_estimators': 50}",0.825,0.975,0.925,0.8875,0.8375,0.89,0.05556527692723218,61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8960233211517334,0.2777798175264942,0.009848785400390626,0.0035719049806096975,gini,90,60,"{'criterion': 'gini', 'max_features': 90, 'n_estimators': 60}",0.825,0.975,0.9125,0.8625,0.8875,0.8925000000000001,0.05037360419902471,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1438085556030273,0.3544248177762676,0.011583614349365234,0.003612661548934877,gini,90,70,"{'criterion': 'gini', 'max_features': 90, 'n_estimators': 70}",0.8375,0.975,0.925,0.8375,0.8375,0.8825,0.05733672470589856,113,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1834421634674073,0.1930113896813136,0.009888601303100587,0.002889906856903046,gini,90,80,"{'criterion': 'gini', 'max_features': 90, 'n_estimators': 80}",0.8125,0.95,0.9375,0.8875,0.9,0.8975000000000002,0.048347699014534284,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
