,precision,recall,f1-score,support
1,0.7,1.0,0.8235294117647058,7.0
2,0.9444444444444444,0.8095238095238095,0.8717948717948718,21.0
3,0.9230769230769231,0.96,0.9411764705882353,25.0
4,0.782608695652174,0.8571428571428571,0.8181818181818182,21.0
5,0.95,0.8260869565217391,0.8837209302325583,23.0
accuracy,0.8762886597938144,0.8762886597938144,0.8762886597938144,0.8762886597938144
macro avg,0.8600260126347082,0.890550724637681,0.867680700512438,97.0
weighted avg,0.8875777218448665,0.8762886597938144,0.8774145312568883,97.0
