mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07605705261230469,0.02446571186594863,0.002592802047729492,0.0013525080552892448,gini,10,10,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 10}",0.75,0.9375,0.8625,0.8,0.8125,0.8324999999999999,0.06354132513569417,199,0.996875,0.99375,0.9875,0.99375,0.99375,0.993125,0.0030618621784789485
0.101409912109375,0.011689484784735088,0.0033986568450927734,0.00134943922497494,gini,10,20,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 20}",0.7625,0.9125,0.9,0.8375,0.875,0.8574999999999999,0.05396758286230727,191,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1221038818359375,0.022802623547842862,0.005983304977416992,0.0026023906326023078,gini,10,30,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 30}",0.775,0.95,0.9,0.8875,0.8875,0.8800000000000001,0.057336724705898554,149,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.14600067138671874,0.021561743030429535,0.006173515319824218,0.0014473505712468933,gini,10,40,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 40}",0.8125,0.95,0.9,0.9,0.8875,0.89,0.04430011286667337,89,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.17479991912841797,0.01575186707935267,0.005693817138671875,0.00047507046049255085,gini,10,50,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 50}",0.8125,0.95,0.9125,0.875,0.8625,0.8825,0.046502688094345664,140,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2560412883758545,0.051427721007299386,0.011523771286010741,0.0015550810280901925,gini,10,60,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 60}",0.8125,0.975,0.9375,0.8625,0.85,0.8875,0.05968668193156661,114,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2462134838104248,0.016566348318233625,0.010048532485961914,0.0033731130295566398,gini,10,70,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 70}",0.8125,0.95,0.9125,0.875,0.8875,0.8875,0.045414755311462364,114,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.25793232917785647,0.00641708987892167,0.012183570861816406,0.002151179537605643,gini,10,80,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 80}",0.8125,0.95,0.9,0.8875,0.8875,0.8875,0.044017042154147513,114,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.35653223991394045,0.1252792580679865,0.01517472267150879,0.008694751814362774,gini,10,90,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 90}",0.8125,0.9625,0.925,0.8875,0.8625,0.89,0.05147815070493501,89,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.6744151592254639,0.14778075273786018,0.035451412200927734,0.033325520952111505,gini,10,100,"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 100}",0.8,0.975,0.9125,0.9,0.9,0.8975,0.0561248608016091,36,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07728071212768554,0.012933485776896706,0.0045433521270751955,0.0031305616343382365,gini,20,10,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 10}",0.725,0.9125,0.925,0.85,0.85,0.8525,0.07088723439378913,192,1.0,1.0,0.99375,0.99375,0.996875,0.996875,0.002795084971874727
0.13075356483459472,0.02740788147141842,0.004778337478637695,0.0017169973779256943,gini,20,20,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 20}",0.775,0.95,0.925,0.875,0.8375,0.8725000000000002,0.06244997998398397,175,1.0,0.996875,1.0,1.0,0.996875,0.99875,0.001530931089239508
0.1327068328857422,0.005011162668285952,0.005558395385742187,0.0019363634539393047,gini,20,30,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 30}",0.8,0.9625,0.9125,0.8375,0.875,0.8775000000000001,0.05667892024377316,166,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.21927824020385742,0.027585713711302924,0.010289573669433593,0.002528796518194464,gini,20,40,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 40}",0.8125,0.9625,0.9125,0.875,0.8875,0.89,0.04898979485566357,89,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.23910012245178222,0.025719463954825227,0.00753316879272461,0.002791323608494472,gini,20,50,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 50}",0.775,0.9625,0.8875,0.85,0.875,0.8699999999999999,0.06051859218455102,177,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.25137009620666506,0.0032035875331755032,0.00799560546875,0.0018021421708832015,gini,20,60,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 60}",0.85,0.975,0.9,0.9125,0.875,0.9025000000000001,0.04213074886588179,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.30149011611938475,0.00525618305766453,0.009546232223510743,0.0025462478208525324,gini,20,70,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 70}",0.8,0.9625,0.8875,0.8875,0.875,0.8825000000000001,0.05159941860137572,137,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.49059481620788575,0.15567860691099572,0.015052175521850586,0.0037036329850364306,gini,20,80,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 80}",0.8375,0.975,0.9,0.9,0.875,0.8975,0.04499999999999999,36,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4178487300872803,0.05903294501231283,0.014690351486206055,0.0024796016000649987,gini,20,90,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 90}",0.825,0.975,0.9125,0.875,0.8625,0.89,0.05086747487343951,89,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4871511459350586,0.06046969496059039,0.012627887725830077,0.002253929853604659,gini,20,100,"{'criterion': 'gini', 'max_features': 20, 'n_estimators': 100}",0.8125,0.95,0.9,0.8875,0.8625,0.8825,0.04513867521316946,140,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06454057693481445,0.009101089121636622,0.003191709518432617,0.002919339479819845,gini,30,10,"{'criterion': 'gini', 'max_features': 30, 'n_estimators': 10}",0.775,0.9,0.9125,0.825,0.8375,0.85,0.050621141828291465,193,0.996875,0.996875,0.996875,0.996875,0.996875,0.996875,0.0
