,precision,recall,f1-score,support
1,0.6363636363636364,1.0,0.7777777777777778,7.0
2,0.9473684210526315,0.8571428571428571,0.9,21.0
3,1.0,0.96,0.9795918367346939,25.0
4,0.8260869565217391,0.9047619047619048,0.8636363636363636,21.0
5,1.0,0.8695652173913043,0.9302325581395349,23.0
accuracy,0.9072164948453608,0.9072164948453608,0.9072164948453608,0.9072164948453608
macro avg,0.8819638027876013,0.9182939958592133,0.890247707257674,97.0
weighted avg,0.9247124575629612,0.9072164948453608,0.9109892044988117,97.0
