mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.25281491279602053,0.018243701150921686,0.03876762390136719,0.005062514229053267,0.01,2,rbf,"{'C': 0.01, 'degree': 2, 'kernel': 'rbf'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.21069560050964356,0.04137804866913215,0.028418636322021483,0.0004355657426270658,0.01,2,linear,"{'C': 0.01, 'degree': 2, 'kernel': 'linear'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.1968808650970459,0.010843699735974054,0.028540515899658205,0.0004974855942890986,0.01,2,poly,"{'C': 0.01, 'degree': 2, 'kernel': 'poly'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.24054350852966308,0.0325444903234265,0.039887428283691406,0.014139643503560157,0.01,2,sigmoid,"{'C': 0.01, 'degree': 2, 'kernel': 'sigmoid'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.21007919311523438,0.015924491477062146,0.043180990219116214,0.016647759463470618,0.01,3,rbf,"{'C': 0.01, 'degree': 3, 'kernel': 'rbf'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.19744672775268554,0.011091511926217549,0.02793707847595215,0.0006372320832634272,0.01,3,linear,"{'C': 0.01, 'degree': 3, 'kernel': 'linear'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.1804142951965332,0.016652697558087754,0.0319770336151123,0.00862586563497017,0.01,3,poly,"{'C': 0.01, 'degree': 3, 'kernel': 'poly'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.17488627433776854,0.0010047732809068738,0.028352069854736327,0.0005243051995847069,0.01,3,sigmoid,"{'C': 0.01, 'degree': 3, 'kernel': 'sigmoid'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.17880477905273437,0.0024055917363801174,0.028748035430908203,0.0007921110454885639,0.1,2,rbf,"{'C': 0.1, 'degree': 2, 'kernel': 'rbf'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.17256746292114258,0.00180726295089668,0.027968406677246094,8.955898077562021e-05,0.1,2,linear,"{'C': 0.1, 'degree': 2, 'kernel': 'linear'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.17173147201538086,0.001072927399907106,0.02773904800415039,0.0007503981222725569,0.1,2,poly,"{'C': 0.1, 'degree': 2, 'kernel': 'poly'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.17510781288146973,0.000737480757742193,0.028111982345581054,0.0003747706915614299,0.1,2,sigmoid,"{'C': 0.1, 'degree': 2, 'kernel': 'sigmoid'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.177994966506958,0.0012002529004175027,0.028940963745117187,5.2687679404827596e-05,0.1,3,rbf,"{'C': 0.1, 'degree': 3, 'kernel': 'rbf'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.17250795364379884,0.0012147416768991906,0.027936220169067383,0.0005980323134591036,0.1,3,linear,"{'C': 0.1, 'degree': 3, 'kernel': 'linear'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.1808621883392334,0.00325426170497662,0.02920980453491211,0.0015859908346463935,0.1,3,poly,"{'C': 0.1, 'degree': 3, 'kernel': 'poly'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.17357397079467773,0.0009879232223235863,0.028172016143798828,0.0007165349964427227,0.1,3,sigmoid,"{'C': 0.1, 'degree': 3, 'kernel': 'sigmoid'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.17661042213439943,0.0006406935205689626,0.028527069091796874,0.0004915128254445927,1,2,rbf,"{'C': 1, 'degree': 2, 'kernel': 'rbf'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.16985116004943848,0.000879755299217083,0.027715110778808595,0.0002405806073759942,1,2,linear,"{'C': 1, 'degree': 2, 'kernel': 'linear'}",0.3,0.375,0.35,0.3,0.3625,0.3375,0.0316227766016838,5,0.328125,0.30625,0.31875,0.34375,0.3625,0.33187500000000003,0.019605483926697646
0.18043642044067382,0.0055611773134583275,0.029421186447143553,0.002265642829056816,1,2,poly,"{'C': 1, 'degree': 2, 'kernel': 'poly'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.3117833614349365,0.12461930627936033,0.054540252685546874,0.016677885162811084,1,2,sigmoid,"{'C': 1, 'degree': 2, 'kernel': 'sigmoid'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.20307254791259766,0.03721646439942512,0.031334304809570314,0.0052858191528538595,1,3,rbf,"{'C': 1, 'degree': 3, 'kernel': 'rbf'}",0.2375,0.2375,0.225,0.225,0.2375,0.23249999999999998,0.006123724356957937,7,0.23125,0.23125,0.234375,0.234375,0.23125,0.2325,0.001530931089239481
0.1722592830657959,0.004119992904001332,0.029100656509399414,0.0014585416550922325,1,3,linear,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.3,0.375,0.35,0.3,0.3625,0.3375,0.0316227766016838,5,0.328125,0.30625,0.31875,0.34375,0.3625,0.33187500000000003,0.019605483926697646
