mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.010414838790893555,0.004982968099910708,0.0007968902587890625,0.0003984481538408535,gini,auto,"{'criterion': 'gini', 'max_features': 'auto'}",0.65,0.7,0.7875,0.7875,0.6875,0.7225,0.055565276927232156,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.009860992431640625,0.001544148433158379,0.00019960403442382814,0.00039920806884765627,gini,sqrt,"{'criterion': 'gini', 'max_features': 'sqrt'}",0.6875,0.7375,0.7875,0.65,0.75,0.7224999999999999,0.04834769901453428,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006581544876098633,0.0023273305870104683,0.0010111808776855468,0.00065027941525793,gini,log2,"{'criterion': 'gini', 'max_features': 'log2'}",0.6375,0.7625,0.5875,0.6375,0.6375,0.6525000000000001,0.05830951894845299,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.016619539260864256,0.002235717468864741,0.0003983497619628906,0.00048787766686851836,entropy,auto,"{'criterion': 'entropy', 'max_features': 'auto'}",0.6375,0.8125,0.725,0.7125,0.7125,0.72,0.05567764362830023,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.015699386596679688,0.0007878766671385671,0.0003989219665527344,0.0004885776326209085,entropy,sqrt,"{'criterion': 'entropy', 'max_features': 'sqrt'}",0.6,0.775,0.775,0.7,0.75,0.72,0.06595452979136462,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.007672739028930664,0.0017470322189361363,0.00019965171813964843,0.00039930343627929686,entropy,log2,"{'criterion': 'entropy', 'max_features': 'log2'}",0.6625,0.8125,0.55,0.6875,0.65,0.6725000000000001,0.08418729120241367,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
