,precision,recall,f1-score,support
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,21.0
3,0.0,0.0,0.0,25.0
4,0.22340425531914893,1.0,0.3652173913043478,21.0
5,0.0,0.0,0.0,23.0
accuracy,0.21649484536082475,0.21649484536082475,0.21649484536082475,0.21649484536082475
macro avg,0.04468085106382978,0.2,0.07304347826086957,97.0
weighted avg,0.04836586970826936,0.21649484536082475,0.0790676826535186,97.0
