,precision,recall,f1-score,support
1,0.4444444444444444,0.5714285714285714,0.5,7.0
2,0.625,0.7142857142857143,0.6666666666666666,21.0
3,0.7368421052631579,0.56,0.6363636363636364,25.0
4,0.48148148148148145,0.6190476190476191,0.5416666666666666,21.0
5,0.8888888888888888,0.6956521739130435,0.7804878048780488,23.0
accuracy,0.6391752577319587,0.6391752577319587,0.6391752577319587,0.6391752577319587
macro avg,0.6353313840155945,0.6320828157349896,0.6250369549150037,97.0
weighted avg,0.6722960752396455,0.6391752577319587,0.6467557775390312,97.0
