,precision,recall,f1-score,support
1,0.875,1.0,0.9333333333333333,7.0
2,0.8823529411764706,0.7142857142857143,0.7894736842105262,21.0
3,0.8518518518518519,0.92,0.8846153846153846,25.0
4,0.75,0.8571428571428571,0.7999999999999999,21.0
5,0.9523809523809523,0.8695652173913043,0.909090909090909,23.0
accuracy,0.8556701030927835,0.8556701030927835,0.8556701030927835,0.8556701030927835
macro avg,0.862317149081855,0.8721987577639752,0.8633026622500306,97.0
weighted avg,0.8619120615027226,0.8556701030927835,0.8550181054250505,97.0
