mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.027727651596069335,0.0019353016162838015,0.045884132385253906,0.0022783353120006795,4,{'n_neighbors': 4},0.725,0.8875,0.85,0.7625,0.8375,0.8125,0.059686681931566614,3,0.921875,0.89375,0.896875,0.890625,0.88125,0.896875,0.013549677117924253
0.026513099670410156,0.0008097554078143796,0.04527878761291504,0.0004893018442530208,5,{'n_neighbors': 5},0.7375,0.875,0.8875,0.775,0.8875,0.8324999999999999,0.06354132513569415,1,0.91875,0.896875,0.884375,0.890625,0.88125,0.8943749999999999,0.013317047345414057
0.026335954666137695,0.0004833450628083762,0.04507336616516113,0.00038356929202104103,6,{'n_neighbors': 6},0.7125,0.9125,0.875,0.7875,0.8375,0.825,0.0698212002188447,2,0.903125,0.853125,0.86875,0.875,0.86875,0.87375,0.01636975106713597
