,precision,recall,f1-score,support
1,0.4375,1.0,0.6086956521739131,7.0
2,0.782608695652174,0.8571428571428571,0.8181818181818182,21.0
3,1.0,0.64,0.7804878048780487,25.0
4,0.5454545454545454,0.5714285714285714,0.5581395348837208,21.0
5,0.85,0.7391304347826086,0.7906976744186046,23.0
accuracy,0.7216494845360825,0.7216494845360825,0.7216494845360825,0.7216494845360825
macro avg,0.7231126482213439,0.7615403726708074,0.7112404969072211,97.0
weighted avg,0.7783693614767124,0.7216494845360825,0.7305346351873488,97.0
