,precision,recall,f1-score,support
1,0.35714285714285715,1.0,0.5263157894736842,30.0
2,0.0,0.0,0.0,19.0
3,0.42857142857142855,0.47368421052631576,0.45,19.0
4,0.0,0.0,0.0,16.0
5,0.0,0.0,0.0,21.0
accuracy,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.37142857142857144
macro avg,0.15714285714285714,0.29473684210526313,0.19526315789473686,105.0
weighted avg,0.1795918367346939,0.37142857142857144,0.23180451127819549,105.0
