,precision,recall,f1-score,support
1,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
2,1.0,0.9473684210526315,0.972972972972973,19.0
3,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
4,0.9411764705882353,1.0,0.9696969696969697,16.0
5,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
accuracy,0.9619047619047619,0.9619047619047619,0.9619047619047619,0.9619047619047619
macro avg,0.9615185021376972,0.9627568922305765,0.9618171965540385,105.0
weighted avg,0.9624649859943978,0.9619047619047619,0.9619203619203619,105.0
