mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.029864931106567384,0.002696105762525768,0.045108604431152347,0.0022632741423327875,1,uniform,"{'n_neighbors': 1, 'weights': 'uniform'}",0.8452380952380952,0.7108433734939759,0.7590361445783133,0.7349397590361446,0.7710843373493976,0.7642283419391853,0.04548476593413149,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.030459070205688478,0.003400149280636077,0.04373049736022949,0.0030815709425627853,1,distance,"{'n_neighbors': 1, 'weights': 'distance'}",0.8452380952380952,0.7108433734939759,0.7590361445783133,0.7349397590361446,0.7710843373493976,0.7642283419391853,0.04548476593413149,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0283510684967041,0.002231519653912941,0.04685630798339844,0.0017472602646232624,2,uniform,"{'n_neighbors': 2, 'weights': 'uniform'}",0.7142857142857143,0.7228915662650602,0.7469879518072289,0.7228915662650602,0.7710843373493976,0.7356282271944922,0.020814067411815462,56,0.8945783132530121,0.8948948948948949,0.8978978978978979,0.9129129129129129,0.9039039039039038,0.9008375845725244,0.006904370566112899
0.04147062301635742,0.020064360921590994,0.04741568565368652,0.00504297348370122,2,distance,"{'n_neighbors': 2, 'weights': 'distance'}",0.8452380952380952,0.7108433734939759,0.7590361445783133,0.7349397590361446,0.7710843373493976,0.7642283419391853,0.04548476593413149,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.027617359161376955,0.0033542631260299076,0.0518244743347168,0.004146310663775216,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",0.75,0.7349397590361446,0.7951807228915663,0.7228915662650602,0.7590361445783133,0.7524096385542169,0.02472082473335324,38,0.9156626506024096,0.8978978978978979,0.8828828828828829,0.9219219219219219,0.9069069069069069,0.9050544520424039,0.013735150178055176
0.02926039695739746,0.0024302133175121013,0.045288896560668944,0.0025317967934247697,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",0.7857142857142857,0.7228915662650602,0.8192771084337349,0.7469879518072289,0.8192771084337349,0.7788296041308089,0.038632512090574646,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.031020975112915038,0.0013541969915632556,0.050467920303344724,0.0022649905274609405,4,uniform,"{'n_neighbors': 4, 'weights': 'uniform'}",0.7619047619047619,0.7590361445783133,0.7831325301204819,0.7710843373493976,0.7349397590361446,0.7620195065978199,0.01593836417021086,21,0.891566265060241,0.9069069069069069,0.8708708708708709,0.8798798798798799,0.8798798798798799,0.8858207605195556,0.01242355599619884
0.031859827041625974,0.002483587272723201,0.04789648056030273,0.006808820146547153,4,distance,"{'n_neighbors': 4, 'weights': 'distance'}",0.7976190476190477,0.7590361445783133,0.8433734939759037,0.7710843373493976,0.7710843373493976,0.7884394721744119,0.030229020625693038,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.028443288803100587,0.003653080074578951,0.048176002502441403,0.0014947266046597908,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.7857142857142857,0.7590361445783133,0.7951807228915663,0.7710843373493976,0.7710843373493976,0.7764199655765921,0.012629216060477887,5,0.8765060240963856,0.8738738738738738,0.8768768768768769,0.8498498498498499,0.8768768768768769,0.8707967003147725,0.010533499073040065
0.036564970016479494,0.01529343931964062,0.04532690048217773,0.0084003320864461,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.8095238095238095,0.7469879518072289,0.8554216867469879,0.7951807228915663,0.7469879518072289,0.7908204245553644,0.040950514580506844,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
