,precision,recall,f1-score,support
1,0.47058823529411764,0.26666666666666666,0.3404255319148936,30.0
2,0.3076923076923077,0.42105263157894735,0.35555555555555557,19.0
3,0.2857142857142857,0.21052631578947367,0.24242424242424243,19.0
4,0.25806451612903225,0.5,0.3404255319148936,16.0
5,0.5882352941176471,0.47619047619047616,0.5263157894736842,21.0
accuracy,0.3619047619047619,0.3619047619047619,0.3619047619047619,0.3619047619047619
macro avg,0.3820589277894781,0.3748872180451127,0.36102933025665385,105.0
weighted avg,0.3988032930293705,0.3619047619047619,0.36260783055855844,105.0
