,precision,recall,f1-score,support
1,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
2,1.0,0.9473684210526315,0.972972972972973,19.0
3,0.95,1.0,0.9743589743589743,19.0
4,1.0,1.0,1.0,16.0
5,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
accuracy,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
macro avg,0.9576190476190476,0.9570927318295739,0.9570854370854371,105.0
weighted avg,0.9528571428571428,0.9523809523809523,0.9523743523743523,105.0
