,precision,recall,f1-score,support
1,0.59375,0.6333333333333333,0.6129032258064516,30.0
2,0.1875,0.3157894736842105,0.23529411764705882,19.0
3,0.36363636363636365,0.21052631578947367,0.26666666666666666,19.0
4,0.3684210526315789,0.4375,0.39999999999999997,16.0
5,0.6363636363636364,0.3333333333333333,0.43749999999999994,21.0
accuracy,0.4095238095238095,0.4095238095238095,0.4095238095238095,0.4095238095238095
macro avg,0.42993421052631586,0.3860964912280701,0.3904728020240354,105.0
weighted avg,0.4527853725222147,0.4095238095238095,0.41439858739194607,105.0
