,precision,recall,f1-score,support
1,0.0,0.0,0.0,30.0
2,0.3333333333333333,0.05263157894736842,0.09090909090909091,19.0
3,0.4,0.10526315789473684,0.16666666666666666,19.0
4,0.17582417582417584,1.0,0.2990654205607477,16.0
5,0.16666666666666666,0.047619047619047616,0.07407407407407407,21.0
accuracy,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
macro avg,0.2151648351648352,0.2411027568922306,0.12614305044211588,105.0
weighted avg,0.19282400139543,0.19047619047619047,0.10699563503301822,105.0
