mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.05284557342529297,0.005845643159880051,0.00041952133178710935,0.0005148094728778437,1,newton-cg,"{'C': 1, 'solver': 'newton-cg'}",0.2976190476190476,0.24096385542168675,0.25301204819277107,0.2289156626506024,0.21686746987951808,0.24747561675272517,0.027816359643393726,3,0.286144578313253,0.25825825825825827,0.26426426426426425,0.25825825825825827,0.2702702702702703,0.26743912587286084,0.010359205916924462
0.2189952850341797,0.014387906514262264,0.0006391525268554688,0.0005270192165041959,1,sag,"{'C': 1, 'solver': 'sag'}",0.2976190476190476,0.24096385542168675,0.25301204819277107,0.2289156626506024,0.21686746987951808,0.24747561675272517,0.027816359643393726,3,0.286144578313253,0.25825825825825827,0.26426426426426425,0.25825825825825827,0.2702702702702703,0.26743912587286084,0.010359205916924462
0.1822518825531006,0.009754087317039738,0.001186513900756836,0.0006453908515322162,1,saga,"{'C': 1, 'solver': 'saga'}",0.2976190476190476,0.24096385542168675,0.25301204819277107,0.2289156626506024,0.21686746987951808,0.24747561675272517,0.027816359643393726,3,0.286144578313253,0.25825825825825827,0.26426426426426425,0.25825825825825827,0.2702702702702703,0.26743912587286084,0.010359205916924462
0.05235104560852051,0.005852795666996034,0.00025286674499511717,0.0005057334899902343,1,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",0.2976190476190476,0.24096385542168675,0.25301204819277107,0.2289156626506024,0.21686746987951808,0.24747561675272517,0.027816359643393726,3,0.286144578313253,0.25825825825825827,0.26426426426426425,0.25825825825825827,0.2702702702702703,0.26743912587286084,0.010359205916924462
0.06930456161499024,0.006511644750216944,0.000218963623046875,0.0003918776053981322,10,newton-cg,"{'C': 10, 'solver': 'newton-cg'}",0.30952380952380953,0.25301204819277107,0.24096385542168675,0.2289156626506024,0.1686746987951807,0.24021801491681014,0.04519673877629126,9,0.30120481927710846,0.2852852852852853,0.26426426426426425,0.26426426426426425,0.2852852852852853,0.2800607836752415,0.014147233840454326
0.2974699020385742,0.027999719631565497,0.0006738185882568359,0.0009344124652842613,10,sag,"{'C': 10, 'solver': 'sag'}",0.30952380952380953,0.25301204819277107,0.24096385542168675,0.2289156626506024,0.1686746987951807,0.24021801491681014,0.04519673877629126,9,0.30120481927710846,0.2852852852852853,0.26426426426426425,0.26426426426426425,0.2852852852852853,0.2800607836752415,0.014147233840454326
0.40198965072631837,0.009659844813023843,0.0005849838256835937,0.0004782903605029358,10,saga,"{'C': 10, 'solver': 'saga'}",0.30952380952380953,0.25301204819277107,0.24096385542168675,0.2289156626506024,0.1686746987951807,0.24021801491681014,0.04519673877629126,9,0.30120481927710846,0.2852852852852853,0.26426426426426425,0.26426426426426425,0.2852852852852853,0.2800607836752415,0.014147233840454326
0.13857293128967285,0.01547267363944337,0.0006103515625,0.00047354349830904934,10,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",0.30952380952380953,0.25301204819277107,0.24096385542168675,0.2289156626506024,0.1686746987951807,0.24021801491681014,0.04519673877629126,9,0.30120481927710846,0.2852852852852853,0.26426426426426425,0.26426426426426425,0.2852852852852853,0.2800607836752415,0.014147233840454326
0.1290914535522461,0.015906082445714086,0.00029468536376953125,0.0003967022657880155,100,newton-cg,"{'C': 100, 'solver': 'newton-cg'}",0.30952380952380953,0.25301204819277107,0.24096385542168675,0.27710843373493976,0.18072289156626506,0.25226620768789443,0.04276053014044668,1,0.3463855421686747,0.3123123123123123,0.2972972972972973,0.30930930930930933,0.30930930930930933,0.3149227540793806,0.016555359807152767
0.5990767478942871,0.05520397097322781,0.0010554790496826172,0.0006533340433525473,100,sag,"{'C': 100, 'solver': 'sag'}",0.30952380952380953,0.25301204819277107,0.24096385542168675,0.26506024096385544,0.18072289156626506,0.2498565691336776,0.04161690520003693,2,0.3463855421686747,0.3123123123123123,0.2972972972972973,0.30930930930930933,0.30930930930930933,0.3149227540793806,0.016555359807152767
0.7764830589294434,0.08798233444826949,0.0007881641387939454,0.0007267453274538516,100,saga,"{'C': 100, 'solver': 'saga'}",0.2976190476190476,0.25301204819277107,0.26506024096385544,0.24096385542168675,0.18072289156626506,0.24747561675272517,0.038347266124807725,3,0.35240963855421686,0.3153153153153153,0.2972972972972973,0.3033033033033033,0.30930930930930933,0.3155269727558884,0.019394712352648513
0.17619600296020507,0.00582318368345678,0.0005982398986816406,0.0004884609249461174,100,lbfgs,"{'C': 100, 'solver': 'lbfgs'}",0.30952380952380953,0.26506024096385544,0.24096385542168675,0.2289156626506024,0.18072289156626506,0.24503729202524385,0.04236099939601392,8,0.3433734939759036,0.3063063063063063,0.2882882882882883,0.29429429429429427,0.3153153153153153,0.3095155396360216,0.019352416686859136
